bucket,n,PICP,width,site,method,variant,horizon_min
2024-12,3888,0.9189814814814815,247.37369503984178,yulara,aci_regime,delayed,5
2024-01,3499,0.8093741068876822,388.720444898769,yulara,icp,static,60
2024-02,2949,0.8860630722278738,391.70074368240205,yulara,icp,static,60
2024-03,3461,0.7795434845420399,384.3348095715744,yulara,icp,static,60
2024-04,2974,0.9576328177538669,392.0293978802829,yulara,icp,static,60
2024-05,2846,0.9311314125087843,389.07018661026655,yulara,icp,static,60
2024-06,2678,0.9253174010455564,383.9534635185897,yulara,icp,static,60
2024-07,2831,0.9272341928647121,390.90092802178754,yulara,icp,static,60
2024-08,2183,0.9482363719651855,388.19314999462705,yulara,icp,static,60
2024-09,3288,0.8667883211678832,388.49092910445484,yulara,icp,static,60
2024-10,3529,0.8710682913006518,388.4301752805921,yulara,icp,static,60
2024-11,3054,0.7829076620825147,385.1243074008647,yulara,icp,static,60
2024-12,3502,0.8246716162193033,388.28147863298295,yulara,icp,static,60
2024-01,3499,0.9051157473563876,632.8695231245854,yulara,icp_norm,static,60
2024-02,2949,0.940996948118006,616.5667183207743,yulara,icp_norm,static,60
2024-03,3461,0.8679572377925455,559.2913074548816,yulara,icp_norm,static,60
2024-04,2974,0.9119031607262945,499.72317078218066,yulara,icp_norm,static,60
2024-05,2846,0.8513703443429375,433.77216535861976,yulara,icp_norm,static,60
2024-06,2678,0.851008215085885,389.7483616155158,yulara,icp_norm,static,60
2024-07,2831,0.8304486047333098,416.0818641001871,yulara,icp_norm,static,60
2024-08,2183,0.8937242327072835,460.30543952820096,yulara,icp_norm,static,60
2024-09,3288,0.8914233576642335,542.0562935088124,yulara,icp_norm,static,60
2024-10,3529,0.932275432133749,597.2936032021526,yulara,icp_norm,static,60
2024-11,3054,0.8876882776686313,616.6889465655073,yulara,icp_norm,static,60
2024-12,3502,0.924328954882924,633.5361063488326,yulara,icp_norm,static,60
2024-01,3499,0.8591026007430694,429.88428377425026,yulara,mondrian,static,60
2024-02,2949,0.9155645981688708,315.61740360771415,yulara,mondrian,static,60
2024-03,3461,0.8569777520947703,420.0810107540369,yulara,mondrian,static,60
2024-04,2974,0.9414929388029589,273.8637468439971,yulara,mondrian,static,60
2024-05,2846,0.9248067463106114,274.1132629581522,yulara,mondrian,static,60
2024-06,2678,0.9245705750560119,304.0192074786917,yulara,mondrian,static,60
2024-07,2831,0.9155775344401271,279.38314772714443,yulara,mondrian,static,60
2024-08,2183,0.956939990838296,246.58251643918,yulara,mondrian,static,60
2024-09,3288,0.8938564476885644,359.2139694008739,yulara,mondrian,static,60
2024-10,3529,0.896004533862284,355.498421123984,yulara,mondrian,static,60
2024-11,3054,0.8464309102815979,464.8195205455558,yulara,mondrian,static,60
2024-12,3502,0.884351798972016,426.6994938025692,yulara,mondrian,static,60
2024-01,3499,0.948556730494427,477.4048704206149,yulara,cqr,static,60
2024-02,2949,0.9579518480840963,308.46048792075544,yulara,cqr,static,60
2024-03,3461,0.9179427911008379,484.5963676524295,yulara,cqr,static,60
2024-04,2974,0.9051782111634162,239.64139193335012,yulara,cqr,static,60
2024-05,2846,0.831693605059733,254.90815880546944,yulara,cqr,static,60
2024-06,2678,0.8398058252427184,283.8950485149474,yulara,cqr,static,60
2024-07,2831,0.7912398445778877,249.40119525137993,yulara,cqr,static,60
2024-08,2183,0.8946404031149794,197.63401685286615,yulara,cqr,static,60
2024-09,3288,0.9197080291970803,352.8826671731087,yulara,cqr,static,60
2024-10,3529,0.9521110796259563,397.76416290732817,yulara,cqr,static,60
2024-11,3054,0.9449901768172888,575.5187948645889,yulara,cqr,static,60
2024-12,3502,0.9614505996573387,504.26807436175375,yulara,cqr,static,60
2024-01,3499,0.948556730494427,477.0061699836149,yulara,mondrian_cqr,static,60
2024-02,2949,0.9593082400813835,311.3576679616868,yulara,mondrian_cqr,static,60
2024-03,3461,0.9095637099104306,477.75742939593687,yulara,mondrian_cqr,static,60
2024-04,2974,0.9078681909885676,243.15063154606105,yulara,mondrian_cqr,static,60
2024-05,2846,0.8352073085031624,257.5322337923881,yulara,mondrian_cqr,static,60
2024-06,2678,0.8364451082897685,283.3039434805483,yulara,mondrian_cqr,static,60
2024-07,2831,0.7947721653126104,252.83643571258995,yulara,mondrian_cqr,static,60
2024-08,2183,0.8932661475034357,199.09149917233913,yulara,mondrian_cqr,static,60
2024-09,3288,0.9118004866180048,350.19416311794913,yulara,mondrian_cqr,static,60
2024-10,3529,0.952677812411448,397.4858878777401,yulara,mondrian_cqr,static,60
2024-11,3054,0.9417157825802227,570.2436317876519,yulara,mondrian_cqr,static,60
2024-12,3502,0.9571673329525985,499.93842335368777,yulara,mondrian_cqr,static,60
2024-01,3499,0.9176907687910831,450.8758220996262,yulara,aci,anticipative,60
2024-02,2949,0.9494743981010512,324.00780639961584,yulara,aci,anticipative,60
2024-03,3461,0.9240104016180295,477.0262618361029,yulara,aci,anticipative,60
2024-04,2974,0.9330867518493612,248.0952097846538,yulara,aci,anticipative,60
2024-05,2846,0.921293042867182,267.6026894743947,yulara,aci,anticipative,60
2024-06,2678,0.9241971620612397,287.5227026265197,yulara,aci,anticipative,60
2024-07,2831,0.9237018721299894,274.69409971570366,yulara,aci,anticipative,60
2024-08,2183,0.9390746678882272,251.6078303098666,yulara,aci,anticipative,60
