site,horizon_min,variant,point_RMSE,point_MAE,method,scope,n,PICP,ACE,PINAW
asp,5,clean,83.6764,37.463,icp_norm,all,43863,0.8793,-0.0207,0.1319
asp,5,clean,83.6764,37.463,icp_norm,clear,23521,0.9765,0.0765,0.1498
asp,5,clean,83.6764,37.463,icp_norm,transitional,16355,0.7161,-0.1839,0.1224
asp,5,clean,83.6764,37.463,icp_norm,cloudy,3987,0.9752,0.0752,0.1826
asp,5,clean,83.6764,37.463,mondrian,all,43863,0.8909,-0.0091,0.1126
asp,5,clean,83.6764,37.463,mondrian,clear,23521,0.8873,-0.0127,0.0237
asp,5,clean,83.6764,37.463,mondrian,transitional,16355,0.8976,-0.0024,0.2554
asp,5,clean,83.6764,37.463,mondrian,cloudy,3987,0.8846,-0.0154,0.0896
asp,5,clean,83.6764,37.463,cqr,all,43863,0.9026,0.0026,0.1055
asp,5,clean,83.6764,37.463,cqr,clear,23521,0.91,0.01,0.0351
asp,5,clean,83.6764,37.463,cqr,transitional,16355,0.8885,-0.0115,0.2087
asp,5,clean,83.6764,37.463,cqr,cloudy,3987,0.9167,0.0167,0.1636
asp,5,clean,83.6764,37.463,mondrian_cqr,all,43863,0.9034,0.0034,0.1067
asp,5,clean,83.6764,37.463,mondrian_cqr,clear,23521,0.9045,0.0045,0.0348
asp,5,clean,83.6764,37.463,mondrian_cqr,transitional,16355,0.9002,0.0002,0.2124
asp,5,clean,83.6764,37.463,mondrian_cqr,cloudy,3987,0.9097,0.0097,0.1622
asp,15,published,110.671,57.0783,icp,all,43497,0.8737,-0.0263,0.1845
asp,15,published,110.671,57.0783,icp,clear,23645,0.9777,0.0777,0.2019
asp,15,published,110.671,57.0783,icp,transitional,15873,0.707,-0.193,0.1824
asp,15,published,110.671,57.0783,icp,cloudy,3979,0.9201,0.0201,0.1832
asp,15,published,110.671,57.0783,icp_norm,all,43497,0.8733,-0.0267,0.2051
asp,15,published,110.671,57.0783,icp_norm,clear,23645,0.9685,0.0685,0.2305
asp,15,published,110.671,57.0783,icp_norm,transitional,15873,0.7147,-0.1853,0.1948
asp,15,published,110.671,57.0783,icp_norm,cloudy,3979,0.9404,0.0404,0.2008
asp,15,published,110.671,57.0783,mondrian,all,43497,0.8839,-0.0161,0.1574
asp,15,published,110.671,57.0783,mondrian,clear,23645,0.8783,-0.0217,0.0454
asp,15,published,110.671,57.0783,mondrian,transitional,15873,0.8935,-0.0065,0.3334
asp,15,published,110.671,57.0783,mondrian,cloudy,3979,0.8786,-0.0214,0.1494
asp,15,published,110.671,57.0783,cqr,all,43497,0.9014,0.0014,0.1478
asp,15,published,110.671,57.0783,cqr,clear,23645,0.9106,0.0106,0.0563
asp,15,published,110.671,57.0783,cqr,transitional,15873,0.8854,-0.0146,0.2823
asp,15,published,110.671,57.0783,cqr,cloudy,3979,0.9105,0.0105,0.1899
asp,15,published,110.671,57.0783,mondrian_cqr,all,43497,0.902,0.002,0.1485
asp,15,published,110.671,57.0783,mondrian_cqr,clear,23645,0.9071,0.0071,0.056
asp,15,published,110.671,57.0783,mondrian_cqr,transitional,15873,0.8923,-0.0077,0.2848
asp,15,published,110.671,57.0783,mondrian_cqr,cloudy,3979,0.911,0.011,0.1899
asp,15,clean,110.1815,56.9582,icp,all,43143,0.8717,-0.0283,0.1824
asp,15,clean,110.1815,56.9582,icp,clear,23483,0.9773,0.0773,0.1994
asp,15,clean,110.1815,56.9582,icp,transitional,15713,0.7023,-0.1977,0.1803
asp,15,clean,110.1815,56.9582,icp,cloudy,3947,0.9179,0.0179,0.1812
asp,15,clean,110.1815,56.9582,icp_norm,all,43143,0.8716,-0.0284,0.2034
asp,15,clean,110.1815,56.9582,icp_norm,clear,23483,0.9681,0.0681,0.2287
asp,15,clean,110.1815,56.9582,icp_norm,transitional,15713,0.7104,-0.1896,0.193
asp,15,clean,110.1815,56.9582,icp_norm,cloudy,3947,0.9392,0.0392,0.1992
asp,15,clean,110.1815,56.9582,mondrian,all,43143,0.8825,-0.0175,0.1565
asp,15,clean,110.1815,56.9582,mondrian,clear,23483,0.8765,-0.0235,0.0444
asp,15,clean,110.1815,56.9582,mondrian,transitional,15713,0.893,-0.007,0.3329
asp,15,clean,110.1815,56.9582,mondrian,cloudy,3947,0.8764,-0.0236,0.1486
asp,15,clean,110.1815,56.9582,cqr,all,43143,0.9004,0.0004,0.1475
asp,15,clean,110.1815,56.9582,cqr,clear,23483,0.9093,0.0093,0.0562
asp,15,clean,110.1815,56.9582,cqr,transitional,15713,0.8848,-0.0152,0.2821
asp,15,clean,110.1815,56.9582,cqr,cloudy,3947,0.9098,0.0098,0.1895
asp,15,clean,110.1815,56.9582,mondrian_cqr,all,43143,0.901,0.001,0.148
asp,15,clean,110.1815,56.9582,mondrian_cqr,clear,23483,0.9071,0.0071,0.056
asp,15,clean,110.1815,56.9582,mondrian_cqr,transitional,15713,0.8898,-0.0102,0.2838
asp,15,clean,110.1815,56.9582,mondrian_cqr,cloudy,3947,0.9098,0.0098,0.1894
asp,30,published,124.0915,66.9036,icp,all,42411,0.8723,-0.0277,0.2162
asp,30,published,124.0915,66.9036,icp,clear,23518,0.975,0.075,0.2255
asp,30,published,124.0915,66.9036,icp,transitional,15010,0.7101,-0.1899,0.2156
asp,30,published,124.0915,66.9036,icp,cloudy,3883,0.8769,-0.0231,0.2182
asp,30,published,124.0915,66.9036,icp_norm,all,42411,0.8722,-0.0278,0.2372
asp,30,published,124.0915,66.9036,icp_norm,clear,23518,0.9634,0.0634,0.2511
asp,30,published,124.0915,66.9036,icp_norm,transitional,15010,0.7211,-0.1789,0.2319
asp,30,published,124.0915,66.9036,icp_norm,cloudy,3883,0.9039,0.0039,0.2354
asp,30,published,124.0915,66.9036,mondrian,all,42411,0.8832,-0.0168,0.1799
asp,30,published,124.0915,66.9036,mondrian,clear,23518,0.8763,-0.0237,0.0555
asp,30,published,124.0915,66.9036,mondrian,transitional,15010,0.8935,-0.0065,0.3703
asp,30,published,124.0915,66.9036,mondrian,cloudy,3883,0.8846,-0.0154,0.2257
asp,30,published,124.0915,66.9036,cqr,all,42411,0.8982,-0.0018,0.1718
asp,30,published,124.0915,66.9036,cqr,clear,23518,0.9031,0.0031,0.0674
asp,30,published,124.0915,66.9036,cqr,transitional,15010,0.8889,-0.0111,0.3193
asp,30,published,124.0915,66.9036,cqr,cloudy,3883,0.9042,0.0042,0.2675
asp,30,published,124.0915,66.9036,mondrian_cqr,all,42411,0.8991,-0.0009,0.1727
asp,30,published,124.0915,66.9036,mondrian_cqr,clear,23518,0.9005,0.0005,0.067
asp,30,published,124.0915,66.9036,mondrian_cqr,transitional,15010,0.8949,-0.0051,0.3222
asp,30,published,124.0915,66.9036,mondrian_cqr,cloudy,3883,0.9068,0.0068,0.2688
asp,30,clean,123.7878,66.8387,icp,all,42068,0.8705,-0.0295,0.2142
asp,30,clean,123.7878,66.8387,icp,clear,23357,0.9746,0.0746,0.2234
asp,30,clean,123.7878,66.8387,icp,transitional,14860,0.7059,-0.1941,0.2136
asp,30,clean,123.7878,66.8387,icp,cloudy,3851,0.8743,-0.0257,0.2162
asp,30,clean,123.7878,66.8387,icp_norm,all,42068,0.8702,-0.0298,0.2353
asp,30,clean,123.7878,66.8387,icp_norm,clear,23357,0.9628,0.0628,0.2491
asp,30,clean,123.7878,66.8387,icp_norm,transitional,14860,0.7165,-0.1835,0.2298
asp,30,clean,123.7878,66.8387,icp_norm,cloudy,3851,0.9018,0.0018,0.2336
asp,30,clean,123.7878,66.8387,mondrian,all,42068,0.8815,-0.0185,0.1782
asp,30,clean,123.7878,66.8387,mondrian,clear,23357,0.875,-0.025,0.0548
asp,30,clean,123.7878,66.8387,mondrian,transitional,14860,0.8917,-0.0083,0.3678
asp,30,clean,123.7878,66.8387,mondrian,cloudy,3851,0.8816,-0.0184,0.2225
asp,30,clean,123.7878,66.8387,cqr,all,42068,0.898,-0.002,0.1715
asp,30,clean,123.7878,66.8387,cqr,clear,23357,0.9027,0.0027,0.0674
asp,30,clean,123.7878,66.8387,cqr,transitional,14860,0.8892,-0.0108,0.3192
asp,30,clean,123.7878,66.8387,cqr,cloudy,3851,0.9034,0.0034,0.267
asp,30,clean,123.7878,66.8387,mondrian_cqr,all,42068,0.8987,-0.0013,0.1722
asp,30,clean,123.7878,66.8387,mondrian_cqr,clear,23357,0.9008,0.0008,0.0671
asp,30,clean,123.7878,66.8387,mondrian_cqr,transitional,14860,0.8939,-0.0061,0.3215
asp,30,clean,123.7878,66.8387,mondrian_cqr,cloudy,3851,0.9047,0.0047,0.2677
asp,60,published,138.3985,77.4122,icp,all,40239,0.8716,-0.0284,0.2478
asp,60,published,138.3985,77.4122,icp,clear,22594,0.9697,0.0697,0.2577
asp,60,published,138.3985,77.4122,icp,transitional,13998,0.7232,-0.1768,0.2481
asp,60,published,138.3985,77.4122,icp,cloudy,3647,0.8336,-0.0664,0.2676
asp,60,published,138.3985,77.4122,icp_norm,all,40239,0.8713,-0.0287,0.2689
asp,60,published,138.3985,77.4122,icp_norm,clear,22594,0.9591,0.0591,0.2808
asp,60,published,138.3985,77.4122,icp_norm,transitional,13998,0.7332,-0.1668,0.2683
asp,60,published,138.3985,77.4122,icp_norm,cloudy,3647,0.8569,-0.0431,0.2878
asp,60,published,138.3985,77.4122,mondrian,all,40239,0.8865,-0.0135,0.2037
asp,60,published,138.3985,77.4122,mondrian,clear,22594,0.8827,-0.0173,0.074
asp,60,published,138.3985,77.4122,mondrian,transitional,13998,0.8967,-0.0033,0.4026
asp,60,published,138.3985,77.4122,mondrian,cloudy,3647,0.8711,-0.0289,0.2994
asp,60,published,138.3985,77.4122,cqr,all,40239,0.895,-0.005,0.1958
asp,60,published,138.3985,77.4122,cqr,clear,22594,0.9051,0.0051,0.0893
asp,60,published,138.3985,77.4122,cqr,transitional,13998,0.8794,-0.0206,0.3443
asp,60,published,138.3985,77.4122,cqr,cloudy,3647,0.8922,-0.0078,0.3511
asp,60,published,138.3985,77.4122,mondrian_cqr,all,40239,0.8955,-0.0045,0.1964
