site,horizon_min,batt,E_max,P_max,policy,theta,protocol,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,soc_min,soc_max
yulara,5,large,1500.0,600.0,mondrian,0.9,A,2.32,42.78,0.9864,0.9405,0.1,0.857
yulara,5,small,250.0,250.0,mondrian_cqr,0.75,A,33.89,196.65,0.8088,0.7326,0.1,1.0
yulara,5,default,600.0,400.0,mondrian_cqr,0.8,A,6.92,68.93,0.9596,0.9041,0.1,1.0
yulara,5,large,1500.0,600.0,mondrian_cqr,0.925,A,0.71,13.59,0.9958,0.9811,0.1,1.0
yulara,5,small,250.0,250.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
yulara,5,default,600.0,400.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
yulara,5,large,1500.0,600.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
yulara,15,small,250.0,250.0,cqr,0.775,A,86.76,416.98,0.7572,0.7516,0.1,1.0
yulara,15,default,600.0,400.0,cqr,0.8,A,31.73,228.37,0.9071,0.8617,0.1,1.0
yulara,15,large,1500.0,600.0,cqr,0.875,A,6.03,92.79,0.9823,0.9438,0.1,1.0
yulara,15,small,250.0,250.0,deterministic,,A,357.29,1678.87,0.0,0.0,0.1,1.0
yulara,15,default,600.0,400.0,deterministic,,A,341.63,1650.89,0.0,0.0,0.1,0.874
yulara,15,large,1500.0,600.0,deterministic,,A,340.06,1650.71,0.0,0.0,0.1,0.409
yulara,15,small,250.0,250.0,icp,0.875,A,153.46,845.8,0.5705,0.4962,0.1,1.0
yulara,15,default,600.0,400.0,icp,0.875,A,99.9,794.99,0.7076,0.5184,0.1,1.0
yulara,15,large,1500.0,600.0,icp,0.925,A,7.93,154.18,0.9767,0.9066,0.1,0.9
yulara,15,small,250.0,250.0,mondrian,0.775,A,103.83,590.07,0.7094,0.6485,0.1,1.0
yulara,15,default,600.0,400.0,mondrian,0.8,A,36.28,382.27,0.8938,0.7684,0.1,1.0
yulara,15,large,1500.0,600.0,mondrian,0.875,A,7.41,131.51,0.9782,0.9203,0.1,1.0
yulara,15,small,250.0,250.0,mondrian_cqr,0.775,A,87.38,416.67,0.7554,0.7518,0.1,1.0
yulara,15,default,600.0,400.0,mondrian_cqr,0.8,A,31.96,227.97,0.9064,0.8619,0.1,1.0
yulara,15,large,1500.0,600.0,mondrian_cqr,0.875,A,5.98,93.56,0.9824,0.9433,0.1,1.0
yulara,15,small,250.0,250.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
yulara,15,default,600.0,400.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
yulara,15,large,1500.0,600.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
yulara,30,small,250.0,250.0,cqr,0.8,A,125.75,585.8,0.7384,0.7748,0.1,1.0
yulara,30,default,600.0,400.0,cqr,0.825,A,62.99,397.62,0.864,0.8462,0.1,1.0
yulara,30,large,1500.0,600.0,cqr,0.875,A,15.55,195.17,0.9663,0.9244,0.1,1.0
yulara,30,small,250.0,250.0,deterministic,,A,480.74,2601.4,0.0,0.0,0.1,1.0
yulara,30,default,600.0,400.0,deterministic,,A,463.11,2584.71,0.0,0.0,0.1,0.939
yulara,30,large,1500.0,600.0,deterministic,,A,461.25,2583.13,0.0,0.0,0.1,0.436
yulara,30,small,250.0,250.0,icp,0.875,A,245.81,1447.56,0.4887,0.4435,0.1,1.0
yulara,30,default,600.0,400.0,icp,0.875,A,166.85,1370.76,0.6397,0.4697,0.1,1.0
yulara,30,large,1500.0,600.0,icp,0.925,A,21.9,372.46,0.9525,0.8558,0.1,1.0
yulara,30,small,250.0,250.0,mondrian,0.825,A,152.53,830.4,0.6827,0.6808,0.1,1.0
yulara,30,default,600.0,400.0,mondrian,0.85,A,61.42,434.83,0.8674,0.8318,0.1,1.0
yulara,30,large,1500.0,600.0,mondrian,0.875,A,13.77,239.36,0.9702,0.9073,0.1,1.0
yulara,30,small,250.0,250.0,mondrian_cqr,0.8,A,126.06,587.25,0.7378,0.7743,0.1,1.0
yulara,30,default,600.0,400.0,mondrian_cqr,0.825,A,64.09,396.28,0.8616,0.8467,0.1,1.0
yulara,30,large,1500.0,600.0,mondrian_cqr,0.875,A,15.93,195.48,0.9655,0.9243,0.1,1.0
yulara,30,small,250.0,250.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
yulara,30,default,600.0,400.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
yulara,30,large,1500.0,600.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
yulara,60,small,250.0,250.0,cqr,0.85,A,184.83,841.71,0.7002,0.783,0.1,1.0
yulara,60,default,600.0,400.0,cqr,0.875,A,113.0,623.46,0.8098,0.8384,0.1,1.0
yulara,60,large,1500.0,600.0,cqr,0.9,A,36.47,378.63,0.9384,0.9018,0.1,1.0
yulara,60,small,250.0,250.0,deterministic,,A,616.52,3878.63,0.0,0.0,0.1,1.0
yulara,60,default,600.0,400.0,deterministic,,A,594.07,3857.94,0.0,0.0,0.1,1.0
yulara,60,large,1500.0,600.0,deterministic,,A,591.65,3857.11,0.0,0.0,0.1,0.541
yulara,60,small,250.0,250.0,icp,0.875,A,365.66,2428.32,0.4069,0.3739,0.1,1.0
yulara,60,default,600.0,400.0,icp,0.9,A,192.95,1732.94,0.6752,0.5508,0.1,1.0
yulara,60,large,1500.0,600.0,icp,0.925,A,70.84,992.82,0.8803,0.7426,0.1,1.0
yulara,60,small,250.0,250.0,mondrian,0.85,A,225.15,1360.36,0.6348,0.6493,0.1,1.0
yulara,60,default,600.0,400.0,mondrian,0.875,A,123.86,896.67,0.7915,0.7676,0.1,1.0
yulara,60,large,1500.0,600.0,mondrian,0.925,A,46.58,417.49,0.9213,0.8918,0.1,1.0
yulara,60,small,250.0,250.0,mondrian_cqr,0.85,A,185.8,828.21,0.6986,0.7865,0.1,1.0
yulara,60,default,600.0,400.0,mondrian_cqr,0.875,A,116.07,610.23,0.8046,0.8418,0.1,1.0
yulara,60,large,1500.0,600.0,mondrian_cqr,0.9,A,36.97,363.63,0.9375,0.9057,0.1,1.0
yulara,60,small,250.0,250.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
yulara,60,default,600.0,400.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
yulara,60,large,1500.0,600.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
