site,horizon_min,protocol,policy,theta,lam,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,soc_min,soc_max,selection_objective
yulara,60,A,icp,0.9,0.0,192.95,1732.94,0.6752,0.5508,0.1,1.0,168.37
yulara,60,A_meancvar_lam0.25,icp,0.95,0.25,250.36,591.24,0.5786,0.8467,0.1,1.0,364.59
yulara,60,A_meancvar_lam0.5,icp,0.95,0.5,250.36,591.24,0.5786,0.8467,0.1,1.0,430.46
yulara,60,A_meancvar_lam0.75,icp,0.95,0.75,250.36,591.24,0.5786,0.8467,0.1,1.0,496.33
yulara,60,A_meancvar_lam1.0,icp,0.95,1.0,250.36,591.24,0.5786,0.8467,0.1,1.0,562.19
yulara,60,A,mondrian,0.875,0.0,123.86,896.67,0.7915,0.7676,0.1,1.0,117.59
yulara,60,A_meancvar_lam0.25,mondrian,0.925,0.25,162.32,650.27,0.7268,0.8314,0.1,1.0,258.55
yulara,60,A_meancvar_lam0.5,mondrian,0.925,0.5,162.32,650.27,0.7268,0.8314,0.1,1.0,377.0
yulara,60,A_meancvar_lam0.75,mondrian,0.925,0.75,162.32,650.27,0.7268,0.8314,0.1,1.0,495.44
yulara,60,A_meancvar_lam1.0,mondrian,0.925,1.0,162.32,650.27,0.7268,0.8314,0.1,1.0,613.89
yulara,60,A,mondrian_cqr,0.875,0.0,116.07,610.23,0.8046,0.8418,0.1,1.0,90.13
yulara,60,A_meancvar_lam0.25,mondrian_cqr,0.9,0.25,135.1,593.7,0.7726,0.8461,0.1,1.0,232.25
yulara,60,A_meancvar_lam0.5,mondrian_cqr,0.9,0.5,135.1,593.7,0.7726,0.8461,0.1,1.0,363.44
yulara,60,A_meancvar_lam0.75,mondrian_cqr,0.9,0.75,135.1,593.7,0.7726,0.8461,0.1,1.0,494.64
yulara,60,A_meancvar_lam1.0,mondrian_cqr,0.9,1.0,135.1,593.7,0.7726,0.8461,0.1,1.0,625.83
