method,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
cqr,30,0.8,clear,20234,0.8416,0.0416,0.0665,174.73
cqr,30,0.8,transitional,13900,0.7742,-0.0258,0.2754,524.82
cqr,30,0.8,cloudy,3415,0.8483,0.0483,0.261,395.85
mondrian_cqr,30,0.8,all,37549,0.8187,0.0187,0.1564,323.9
mondrian_cqr,30,0.8,clear,20234,0.8352,0.0352,0.0657,174.52
mondrian_cqr,30,0.8,transitional,13900,0.7987,-0.0013,0.2831,524.11
mondrian_cqr,30,0.8,cloudy,3415,0.8026,0.0026,0.2502,394.09
aci,30,0.8,all,37549,0.8218,0.0218,0.1653,322.98
aci,30,0.8,clear,20234,0.8107,0.0107,0.0655,154.48
aci,30,0.8,transitional,13900,0.8368,0.0368,0.3162,561.97
aci,30,0.8,cloudy,3415,0.8258,0.0258,0.2078,348.53
aci_regime,30,0.8,all,37549,0.8115,0.0115,0.1632,333.68
aci_regime,30,0.8,clear,20234,0.786,-0.014,0.0632,155.86
aci_regime,30,0.8,transitional,13900,0.8465,0.0465,0.3153,583.19
aci_regime,30,0.8,cloudy,3415,0.8199,0.0199,0.1993,371.75
aci_g0.01,30,0.8,all,37549,0.8143,0.0143,0.1578,388.44
aci_g0.02,30,0.8,all,37549,0.8271,0.0271,0.16,352.41
aci_g0.05,30,0.8,all,37549,0.8218,0.0218,0.1653,322.98
aci_g0.1,30,0.8,all,37549,0.8151,0.0151,0.1805,329.12
icp,30,0.9,all,37549,0.8739,-0.0261,0.2492,648.08
icp,30,0.9,clear,20234,0.9754,0.0754,0.2769,429.05
icp,30,0.9,transitional,13900,0.7209,-0.1791,0.2493,996.21
icp,30,0.9,cloudy,3415,0.8955,-0.0045,0.2696,528.84
icp_norm,30,0.9,all,37549,0.8897,-0.0103,0.3443,633.21
icp_norm,30,0.9,clear,20234,0.9402,0.0402,0.3911,568.36
icp_norm,30,0.9,transitional,13900,0.8026,-0.0974,0.3377,757.1
icp_norm,30,0.9,cloudy,3415,0.9444,0.0444,0.349,513.17
mondrian,30,0.9,all,37549,0.8926,-0.0074,0.2196,515.63
mondrian,30,0.9,clear,20234,0.8972,-0.0028,0.1092,320.27
mondrian,30,0.9,transitional,13900,0.8849,-0.0151,0.3915,796.96
mondrian,30,0.9,cloudy,3415,0.8969,-0.0031,0.2716,528.05
cqr,30,0.9,all,37549,0.9044,0.0044,0.2261,424.42
cqr,30,0.9,clear,20234,0.9034,0.0034,0.1211,270.17
cqr,30,0.9,transitional,13900,0.8935,-0.0065,0.358,616.68
cqr,30,0.9,cloudy,3415,0.9555,0.0555,0.4395,555.83
mondrian_cqr,30,0.9,all,37549,0.903,0.003,0.2259,423.28
mondrian_cqr,30,0.9,clear,20234,0.9026,0.0026,0.1205,270.14
mondrian_cqr,30,0.9,transitional,13900,0.901,0.001,0.3641,616.34
mondrian_cqr,30,0.9,cloudy,3415,0.913,0.013,0.4124,544.81
aci,30,0.9,all,37549,0.9244,0.0244,0.2348,421.38
aci,30,0.9,clear,20234,0.9231,0.0231,0.1225,242.8
aci,30,0.9,transitional,13900,0.9264,0.0264,0.4136,682.82
aci,30,0.9,cloudy,3415,0.9239,0.0239,0.2772,415.3
aci_regime,30,0.9,all,37549,0.9125,0.0125,0.2264,419.51
aci_regime,30,0.9,clear,20234,0.8991,-0.0009,0.1016,216.87
aci_regime,30,0.9,transitional,13900,0.9306,0.0306,0.4195,708.55
aci_regime,30,0.9,cloudy,3415,0.9177,0.0177,0.274,443.69
