site,horizon_min,ratio,c_u,c_o,policy,protocol,theta,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar
yulara,15,3.0,0.8999999999999999,0.3,mondrian_cqr,B,0.75,12.5,105.87,0.8781,0.7862
yulara,15,5.0,1.5,0.3,mondrian_cqr,A,0.775,19.7,153.75,0.8847,0.8137
yulara,15,5.0,1.5,0.3,mondrian_cqr,B,0.8333,35.92,198.86,0.7898,0.7591
yulara,15,10.0,3.0,0.3,mondrian_cqr,A,0.8,31.96,227.97,0.9064,0.8619
yulara,15,10.0,3.0,0.3,mondrian_cqr,B,0.9091,95.77,383.73,0.7197,0.7676
yulara,15,19.0,5.7,0.3,mondrian_cqr,A,0.825,47.58,330.19,0.9267,0.8947
yulara,15,19.0,5.7,0.3,mondrian_cqr,B,0.95,154.04,538.56,0.7626,0.8283
yulara,15,3.0,0.8999999999999999,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,15,5.0,1.5,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,15,10.0,3.0,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,15,19.0,5.7,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,30,3.0,0.8999999999999999,0.3,cqr,A,0.775,28.73,203.75,0.7934,0.7374
yulara,30,3.0,0.8999999999999999,0.3,cqr,B,0.75,26.17,197.6,0.8119,0.7453
yulara,30,5.0,1.5,0.3,cqr,A,0.8,42.54,272.37,0.8164,0.7893
yulara,30,5.0,1.5,0.3,cqr,B,0.8333,55.97,295.64,0.7584,0.7713
yulara,30,10.0,3.0,0.3,cqr,A,0.825,62.99,397.62,0.864,0.8462
yulara,30,10.0,3.0,0.3,cqr,B,0.9091,117.39,485.38,0.7465,0.8122
yulara,30,19.0,5.7,0.3,cqr,A,0.85,89.04,566.46,0.8988,0.8846
yulara,30,19.0,5.7,0.3,cqr,B,0.95,184.66,665.62,0.7901,0.8644
yulara,30,3.0,0.8999999999999999,0.3,deterministic,-,,139.09,775.95,0.0,0.0
yulara,30,5.0,1.5,0.3,deterministic,-,,231.67,1292.74,0.0,0.0
yulara,30,10.0,3.0,0.3,deterministic,-,,463.11,2584.71,0.0,0.0
yulara,30,19.0,5.7,0.3,deterministic,-,,879.71,4910.25,0.0,0.0
yulara,30,3.0,0.8999999999999999,0.3,icp,A,0.875,52.3,413.57,0.624,0.467
yulara,30,3.0,0.8999999999999999,0.3,icp,B,0.75,129.65,743.28,0.0679,0.0421
yulara,30,5.0,1.5,0.3,icp,A,0.875,85.02,687.05,0.633,0.4685
yulara,30,5.0,1.5,0.3,icp,B,0.8333,149.46,986.16,0.3549,0.2372
yulara,30,10.0,3.0,0.3,icp,A,0.875,166.85,1370.76,0.6397,0.4697
yulara,30,10.0,3.0,0.3,icp,B,0.9091,87.76,689.1,0.8105,0.7334
yulara,30,19.0,5.7,0.3,icp,A,0.9,165.2,1616.32,0.8122,0.6708
yulara,30,19.0,5.7,0.3,icp,B,0.95,199.42,508.25,0.7733,0.8965
yulara,30,3.0,0.8999999999999999,0.3,mondrian,A,0.8,31.83,255.56,0.7712,0.6706
yulara,30,3.0,0.8999999999999999,0.3,mondrian,B,0.75,46.11,366.93,0.6685,0.5271
yulara,30,5.0,1.5,0.3,mondrian,A,0.825,42.1,321.61,0.8183,0.7512
yulara,30,5.0,1.5,0.3,mondrian,B,0.8333,42.41,300.74,0.8169,0.7674
yulara,30,10.0,3.0,0.3,mondrian,A,0.85,61.42,434.83,0.8674,0.8318
yulara,30,10.0,3.0,0.3,mondrian,B,0.9091,116.07,486.07,0.7494,0.8119
yulara,30,19.0,5.7,0.3,mondrian,A,0.85,87.04,756.56,0.9011,0.8459
yulara,30,19.0,5.7,0.3,mondrian,B,0.95,211.78,755.38,0.7593,0.8462
yulara,30,3.0,0.8999999999999999,0.3,mondrian_cqr,A,0.775,28.82,203.59,0.7928,0.7376
yulara,30,3.0,0.8999999999999999,0.3,mondrian_cqr,B,0.75,26.08,196.62,0.8125,0.7466
yulara,30,5.0,1.5,0.3,mondrian_cqr,A,0.775,36.76,271.41,0.8413,0.7901
yulara,30,5.0,1.5,0.3,mondrian_cqr,B,0.8333,57.4,298.74,0.7522,0.7689
yulara,30,10.0,3.0,0.3,mondrian_cqr,A,0.825,64.09,396.28,0.8616,0.8467
yulara,30,10.0,3.0,0.3,mondrian_cqr,B,0.9091,126.07,505.28,0.7278,0.8045
yulara,30,19.0,5.7,0.3,mondrian_cqr,A,0.85,90.59,558.1,0.897,0.8863
yulara,30,19.0,5.7,0.3,mondrian_cqr,B,0.95,198.45,701.05,0.7744,0.8572
yulara,30,3.0,0.8999999999999999,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,30,5.0,1.5,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,30,10.0,3.0,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,30,19.0,5.7,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,60,3.0,0.8999999999999999,0.3,cqr,A,0.775,53.52,344.17,0.7001,0.7027
yulara,60,3.0,0.8999999999999999,0.3,cqr,B,0.75,53.28,358.46,0.7014,0.6904
yulara,60,5.0,1.5,0.3,cqr,A,0.8,73.3,478.41,0.7534,0.752
yulara,60,5.0,1.5,0.3,cqr,B,0.8333,79.74,465.77,0.7317,0.7586
yulara,60,10.0,3.0,0.3,cqr,A,0.875,113.0,623.46,0.8098,0.8384
