year,date,day_class,model,horizon_min,n,RMSE,MAE
2023,2023-08-10,mixed,gbm,30,95,27.397135787073136,19.63340416168153
2023,2023-08-11,mixed,persistence,30,93,92.32866392490767,84.03666889368408
2023,2023-08-11,mixed,smart_persistence,30,93,26.738517097489133,18.247348294287736
2023,2023-08-11,mixed,gbm,30,93,24.610595297247997,15.97365892204978
2023,2023-08-12,mixed,persistence,30,107,145.65451321522502,98.79257594313569
2023,2023-08-12,mixed,smart_persistence,30,107,104.50336028211835,52.81994349062846
2023,2023-08-12,mixed,gbm,30,107,88.65845212422768,51.12296581097178
2023,2023-08-13,mixed,persistence,30,107,242.3665117586767,192.13843976671478
2023,2023-08-13,mixed,smart_persistence,30,107,215.80878470741916,146.5048837355398
2023,2023-08-13,mixed,gbm,30,107,189.75034258787412,136.68535722492382
2023,2023-08-14,mixed,persistence,30,108,222.27728329415194,156.00322815223976
2023,2023-08-14,mixed,smart_persistence,30,108,197.5314411051599,107.65363827674133
2023,2023-08-14,mixed,gbm,30,108,170.9958201232261,101.36338854817153
2023,2023-08-15,mixed,persistence,30,108,177.8505305042493,131.95283027931592
2023,2023-08-15,mixed,smart_persistence,30,108,146.60090108595105,95.26041404186678
2023,2023-08-15,mixed,gbm,30,108,131.5592581537203,97.88763029362116
2023,2023-08-16,mixed,persistence,30,108,191.78658384415553,147.10571345576446
2023,2023-08-16,mixed,smart_persistence,30,108,170.12796515061817,130.5594357778152
2023,2023-08-16,mixed,gbm,30,108,143.63391839926882,115.94818261603301
2023,2023-08-17,mixed,persistence,30,109,99.41797052576582,81.40916729848294
2023,2023-08-17,mixed,smart_persistence,30,109,46.227294001968396,24.00460140872998
2023,2023-08-17,mixed,gbm,30,109,45.90725367249585,28.5579787240389
2023,2023-08-18,mixed,persistence,30,109,90.58268354306632,80.73086981817129
2023,2023-08-18,mixed,smart_persistence,30,109,26.14531346380932,18.00712836571394
2023,2023-08-18,mixed,gbm,30,109,26.14467698139641,18.945503806724922
2023,2023-08-19,mixed,persistence,30,109,85.32541835611315,75.67976541510671
