site,horizon_min,scope,kind,method_a,method_b,n,value,ci_lo,ci_hi,dm_stat,dm_p_hac_h,dm_p_hac_day,significant_95
asp,5,transitional,CRPS_diff,icp,cqr,16518,15.8362,14.1219,17.5504,13.918,0.0,0.0,yes
asp,5,transitional,CRPS_diff,icp,mondrian_cqr,16518,15.8558,14.1289,17.5764,13.864,0.0,0.0,yes
asp,5,transitional,CRPS_diff,icp_norm,mondrian,16518,3.3579,2.5463,4.1506,6.747,0.0,0.0,yes
asp,5,transitional,CRPS_diff,icp_norm,cqr,16518,11.0205,9.7621,12.2854,14.589,0.0,0.0,yes
asp,5,transitional,CRPS_diff,icp_norm,mondrian_cqr,16518,11.0401,9.7713,12.3237,14.47,0.0,0.0,yes
asp,5,transitional,CRPS_diff,mondrian,cqr,16518,7.6626,6.9714,8.3826,19.191,0.0,0.0,yes
asp,5,transitional,CRPS_diff,mondrian,mondrian_cqr,16518,7.6822,6.9838,8.4098,18.999,0.0,0.0,yes
asp,5,transitional,CRPS_diff,cqr,mondrian_cqr,16518,0.0196,0.0024,0.037,1.818,0.000187,0.069141,yes
asp,5,transitional,CRPS_diff_rearranged,cqr|rearranged,cqr|static,16518,-0.009581,-0.011388,-0.007935,-8.412,,0.0,yes
asp,5,transitional,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,16518,-0.009201,-0.010926,-0.007601,-9.083,,0.0,yes
asp,15,all,CRPS_level,icp|static,,43497,33.9015,31.2578,36.602,,,,
asp,15,all,CRPS_level,icp_norm|static,,43497,31.7634,29.6648,33.9184,,,,
asp,15,all,CRPS_level,mondrian|static,,43497,28.1022,25.8046,30.4286,,,,
asp,15,all,CRPS_level,cqr|static,,43497,22.6352,20.7444,24.5365,,,,
asp,15,all,CRPS_level,mondrian_cqr|static,,43497,22.6295,20.741,24.531,,,,
asp,15,all,CRPS_level,cqr|rearranged,,43497,22.6259,20.7339,24.528,,,,
asp,15,all,CRPS_level,mondrian_cqr|rearranged,,43497,22.6206,20.7309,24.522,,,,
asp,15,all,CRPS_diff,icp,icp_norm,43497,2.1381,1.5546,2.7413,6.318,0.0,0.0,yes
asp,15,all,CRPS_diff,icp,mondrian,43497,5.7993,5.1448,6.4809,16.19,0.0,0.0,yes
asp,15,all,CRPS_diff,icp,cqr,43497,11.2663,10.3023,12.2834,19.992,0.0,0.0,yes
asp,15,all,CRPS_diff,icp,mondrian_cqr,43497,11.272,10.3062,12.2917,19.956,0.0,0.0,yes
asp,15,all,CRPS_diff,icp_norm,mondrian,43497,3.6613,3.1277,4.2014,12.348,0.0,0.0,yes
asp,15,all,CRPS_diff,icp_norm,cqr,43497,9.1282,8.5271,9.7317,27.509,0.0,0.0,yes
asp,15,all,CRPS_diff,icp_norm,mondrian_cqr,43497,9.134,8.5295,9.7399,27.391,0.0,0.0,yes
asp,15,all,CRPS_diff,mondrian,cqr,43497,5.467,4.9,6.0439,16.491,0.0,0.0,yes
asp,15,all,CRPS_diff,mondrian,mondrian_cqr,43497,5.4727,4.9041,6.051,16.473,0.0,0.0,yes
asp,15,all,CRPS_diff,cqr,mondrian_cqr,43497,0.0057,0.0005,0.0112,1.917,0.004911,0.055192,yes
asp,15,all,CRPS_diff_rearranged,cqr|rearranged,cqr|static,43497,-0.009284,-0.014971,-0.003751,-2.777,,0.005484,yes
asp,15,all,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,43497,-0.008876,-0.014379,-0.003405,-2.719,,0.006546,yes
asp,15,clear,CRPS_level,icp|static,,23645,17.1345,16.3173,18.0213,,,,
asp,15,clear,CRPS_level,icp_norm|static,,23645,18.33,17.5761,19.144,,,,
asp,15,clear,CRPS_level,mondrian|static,,23645,13.4945,12.0845,15.0237,,,,
asp,15,clear,CRPS_level,cqr|static,,23645,9.5021,8.5493,10.5166,,,,
asp,15,clear,CRPS_level,mondrian_cqr|static,,23645,9.5014,8.5477,10.5167,,,,
asp,15,clear,CRPS_level,cqr|rearranged,,23645,9.5053,8.5526,10.5219,,,,
asp,15,clear,CRPS_level,mondrian_cqr|rearranged,,23645,9.5043,8.5507,10.5216,,,,
