bucket,n,PICP,width,method,horizon_min
2024-04,2921,0.9048271140020541,238.17242185715753,cqr,60
2024-05,2837,0.8304547056750088,254.33472524648232,cqr,60
2024-06,2651,0.8351565447001131,283.58816145047314,cqr,60
2024-07,2822,0.7880935506732814,250.1436303939291,cqr,60
2024-08,2091,0.8957436633189861,201.50760793315277,cqr,60
2024-09,3245,0.9217257318952234,356.7815063996203,cqr,60
2024-10,3408,0.9574530516431925,393.81536019442785,cqr,60
2024-11,2831,0.9448957965383257,577.1444207781466,cqr,60
2024-12,2975,0.9603361344537815,505.0887645909942,cqr,60
2024-01,3381,0.9503105590062112,479.79094824788876,mondrian_cqr,60
2024-02,2838,0.9591261451726568,306.78371102398364,mondrian_cqr,60
2024-03,3424,0.9068341121495327,480.51531608905003,mondrian_cqr,60
2024-04,2921,0.906881205066758,241.3461154467272,mondrian_cqr,60
2024-05,2837,0.8329221008107155,256.5533794119891,mondrian_cqr,60
2024-06,2651,0.8317615993964542,282.82226330163246,mondrian_cqr,60
2024-07,2822,0.7927002126151665,253.38084553287365,mondrian_cqr,60
2024-08,2091,0.8923959827833573,201.7469721236565,mondrian_cqr,60
2024-09,3245,0.9121725731895224,354.2840292734473,mondrian_cqr,60
2024-10,3408,0.9571596244131455,394.06473888187645,mondrian_cqr,60
2024-11,2831,0.9406570116566584,573.1145989675608,mondrian_cqr,60
2024-12,2975,0.9542857142857143,501.52633032873416,mondrian_cqr,60
2024-01,3381,0.917184265010352,454.531807654467,aci,60
2024-02,2838,0.9517265680056378,333.7069220466587,aci,60
2024-03,3424,0.9240654205607477,474.44790416598755,aci,60
2024-04,2921,0.9339267374186923,242.35885271183034,aci,60
2024-05,2837,0.9213958406767713,268.5206175420076,aci,60
2024-06,2651,0.9238023387400981,289.77348129134754,aci,60
2024-07,2822,0.923458540042523,272.9612370642652,aci,60
2024-08,2091,0.9445241511238642,250.75898947377422,aci,60
2024-09,3245,0.9334360554699538,358.66402423718773,aci,60
2024-10,3408,0.9386737089201878,361.9493092418085,aci,60
2024-11,2831,0.9187566231013776,484.06493080816097,aci,60
2024-12,2975,0.9347899159663866,432.1291336772085,aci,60
2024-01,3381,0.9112688553682342,475.6674773118759,aci_regime,60
2024-02,2838,0.9436222692036645,311.9965305665121,aci_regime,60
2024-03,3424,0.9123831775700935,472.0191882204616,aci_regime,60
2024-04,2921,0.9188634029441972,235.0069833260163,aci_regime,60
2024-05,2837,0.9023616496298907,233.53200522825276,aci_regime,60
2024-06,2651,0.9105997736703131,257.8372369200922,aci_regime,60
2024-07,2822,0.9036144578313253,240.08151127452285,aci_regime,60
2024-08,2091,0.9201339072214252,204.01038256393667,aci_regime,60
2024-09,3245,0.9248073959938367,369.012114559317,aci_regime,60
2024-10,3408,0.9310446009389671,369.7510412466572,aci_regime,60
2024-11,2831,0.9152243023666549,510.6170057319942,aci_regime,60
2024-12,2975,0.9327731092436975,446.74149384648564,aci_regime,60
2024-01,3656,0.7962253829321663,300.15445076885675,icp,15
2024-02,3060,0.8856209150326797,302.90911970600035,icp,15
2024-03,3701,0.8181572547960011,296.2498405190326,icp,15
2024-04,3196,0.9458698372966208,303.07352652510326,icp,15
2024-05,3107,0.9217895075635661,301.4732851646397,icp,15
2024-06,2921,0.9109893871961657,297.1719170558784,icp,15
2024-07,3101,0.9145436955820703,302.64177465318375,icp,15
2024-08,2342,0.9530315969257045,299.59645397324425,icp,15
2024-09,3515,0.8751066856330014,298.5473124267909,icp,15
2024-10,3680,0.8720108695652173,299.4194982956141,icp,15
2024-11,3116,0.8161103979460848,295.78828183436406,icp,15
2024-12,3256,0.8602579852579852,298.96759222789353,icp,15
2024-01,3656,0.8804704595185996,492.38760440524527,icp_norm,15
2024-02,3060,0.9333333333333333,484.24949505338293,icp_norm,15
2024-03,3701,0.8848959740610646,435.71163230223146,icp_norm,15
2024-04,3196,0.8973717146433041,388.4620787556311,icp_norm,15
2024-05,3107,0.8529127775989701,339.87095854891874,icp_norm,15
2024-06,2921,0.8414926395070181,305.35682461071485,icp_norm,15
2024-07,3101,0.8239277652370203,325.4743046040099,icp_norm,15
2024-08,2342,0.9022203245089667,360.52373424577934,icp_norm,15
2024-09,3515,0.9012802275960171,420.9611254199852,icp_norm,15
2024-10,3680,0.9182065217391304,465.5841331470679,icp_norm,15
2024-11,3116,0.9027599486521181,475.8646009174465,icp_norm,15
2024-12,3256,0.9253685503685504,487.9851721220406,icp_norm,15
2024-01,3656,0.8591356673960613,345.4627494503692,mondrian,15
2024-02,3060,0.9179738562091503,244.0038634314802,mondrian,15
2024-03,3701,0.871386111861659,313.0367516493773,mondrian,15
2024-04,3196,0.9152065081351689,204.29111119248853,mondrian,15
2024-05,3107,0.8786610878661087,204.76463843003404,mondrian,15
2024-06,2921,0.8784662786716878,224.7746099515848,mondrian,15
2024-07,3101,0.8590777168655273,208.8173454070094,mondrian,15
2024-08,2342,0.9346712211784799,173.92720806936268,mondrian,15
2024-09,3515,0.905547652916074,265.34552931480545,mondrian,15
2024-10,3680,0.9008152173913043,274.1791486435628,mondrian,15
2024-11,3116,0.8664955070603337,357.34362269750966,mondrian,15
