site,horizon_min,method,variant,nominal,scope,n,PICP,PICP_ci_lo,PICP_ci_hi,ACE,ACE_ci_lo,ACE_ci_hi,covers_nominal
asp,5,aci,delayed,0.9,clear,23683,0.9381,0.9349,0.941,0.0381,0.0349,0.041,no
asp,5,aci,delayed,0.9,cloudy,4020,0.9361,0.9282,0.9435,0.0361,0.0282,0.0435,no
asp,5,aci,delayed,0.9,transitional,16518,0.9043,0.9012,0.9073,0.0043,0.0012,0.0073,no
asp,5,aci_regime,delayed,0.9,all,44221,0.9144,0.9125,0.9163,0.0144,0.0125,0.0163,no
asp,5,aci_regime,delayed,0.9,clear,23683,0.9028,0.8994,0.9059,0.0028,-0.0006,0.0059,yes
asp,5,aci_regime,delayed,0.9,cloudy,4020,0.9077,0.8985,0.9156,0.0077,-0.0015,0.0156,yes
asp,5,aci_regime,delayed,0.9,transitional,16518,0.9327,0.9298,0.9359,0.0327,0.0298,0.0359,no
asp,5,icp,static,0.95,all,44221,0.9402,0.9318,0.9482,-0.0098,-0.0182,-0.0018,no
asp,5,icp,static,0.95,clear,23683,0.9908,0.989,0.9924,0.0408,0.039,0.0424,no
asp,5,icp,static,0.95,cloudy,4020,0.9888,0.9839,0.9927,0.0388,0.0339,0.0427,no
asp,5,icp,static,0.95,transitional,16518,0.856,0.8428,0.8694,-0.094,-0.1072,-0.0806,no
asp,5,icp_norm,static,0.95,all,44221,0.9391,0.9321,0.9458,-0.0109,-0.0179,-0.0042,no
asp,5,icp_norm,static,0.95,clear,23683,0.9878,0.9863,0.9891,0.0378,0.0363,0.0391,no
asp,5,icp_norm,static,0.95,cloudy,4020,0.9891,0.9844,0.9928,0.0391,0.0344,0.0428,no
asp,5,icp_norm,static,0.95,transitional,16518,0.8571,0.8458,0.8682,-0.0929,-0.1042,-0.0818,no
asp,5,mondrian,static,0.95,all,44221,0.9423,0.936,0.9485,-0.0077,-0.014,-0.0015,no
asp,5,mondrian,static,0.95,clear,23683,0.9375,0.9265,0.9475,-0.0125,-0.0235,-0.0025,no
asp,5,mondrian,static,0.95,cloudy,4020,0.9371,0.9214,0.9507,-0.0129,-0.0286,0.0007,yes
asp,5,mondrian,static,0.95,transitional,16518,0.9505,0.9436,0.9575,0.0005,-0.0064,0.0075,yes
