site,method,variant,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
asp,icp_norm,static,60,0.8,cloudy,3647,0.6781,-0.1219,0.1861,531.17
asp,mondrian,static,60,0.8,all,40239,0.7876,-0.0124,0.1416,427.05
asp,mondrian,static,60,0.8,clear,22594,0.7953,-0.0047,0.0434,234.14
asp,mondrian,static,60,0.8,transitional,13998,0.7844,-0.0156,0.2915,706.52
asp,mondrian,static,60,0.8,cloudy,3647,0.7516,-0.0484,0.2122,549.5
asp,cqr,static,60,0.8,all,40239,0.8007,0.0007,0.1466,340.55
asp,cqr,static,60,0.8,clear,22594,0.8156,0.0156,0.0535,176.21
asp,cqr,static,60,0.8,transitional,13998,0.7743,-0.0257,0.2774,574.0
asp,cqr,static,60,0.8,cloudy,3647,0.8094,0.0094,0.2684,462.63
asp,mondrian_cqr,static,60,0.8,all,40239,0.8018,0.0018,0.1471,340.43
asp,mondrian_cqr,static,60,0.8,clear,22594,0.8127,0.0127,0.0533,176.19
asp,mondrian_cqr,static,60,0.8,transitional,13998,0.783,-0.017,0.2793,573.68
asp,mondrian_cqr,static,60,0.8,cloudy,3647,0.8067,0.0067,0.2677,462.6
asp,cqr,rearranged,60,0.8,all,40239,0.7982,-0.0018,0.1467,340.75
asp,cqr,rearranged,60,0.8,clear,22594,0.8115,0.0115,0.0537,176.37
asp,cqr,rearranged,60,0.8,transitional,13998,0.7744,-0.0256,0.2774,574.27
asp,cqr,rearranged,60,0.8,cloudy,3647,0.8067,0.0067,0.2679,462.81
asp,mondrian_cqr,rearranged,60,0.8,all,40239,0.799,-0.001,0.1472,340.62
asp,mondrian_cqr,rearranged,60,0.8,clear,22594,0.8077,0.0077,0.0535,176.35
asp,mondrian_cqr,rearranged,60,0.8,transitional,13998,0.7828,-0.0172,0.2795,573.93
asp,mondrian_cqr,rearranged,60,0.8,cloudy,3647,0.8067,0.0067,0.2678,462.8
asp,aci,anticipative,60,0.8,all,40239,0.8392,0.0392,0.1664,340.07
asp,aci,anticipative,60,0.8,clear,22594,0.8426,0.0426,0.07,169.32
asp,aci,anticipative,60,0.8,transitional,13998,0.8365,0.0365,0.3152,593.93
asp,aci,anticipative,60,0.8,cloudy,3647,0.8289,0.0289,0.2383,423.51
asp,aci_regime,anticipative,60,0.8,all,40239,0.8292,0.0292,0.1708,354.96
asp,aci_regime,anticipative,60,0.8,clear,22594,0.8103,0.0103,0.0734,183.26
asp,aci_regime,anticipative,60,0.8,transitional,13998,0.8606,0.0606,0.323,607.61
asp,aci_regime,anticipative,60,0.8,cloudy,3647,0.8259,0.0259,0.2366,448.9
asp,aci_g0.01,anticipative,60,0.8,all,40239,0.8468,0.0468,0.1636,406.93
asp,aci_g0.02,anticipative,60,0.8,all,40239,0.8582,0.0582,0.1641,365.01
asp,aci_g0.05,anticipative,60,0.8,all,40239,0.8392,0.0392,0.1664,340.07
asp,aci_g0.1,anticipative,60,0.8,all,40239,0.8247,0.0247,0.1821,353.43
asp,aci,delayed,60,0.8,all,40239,0.8269,0.0269,0.3463,659.89
asp,aci,delayed,60,0.8,clear,22594,0.8286,0.0286,0.1822,369.79
asp,aci,delayed,60,0.8,transitional,13998,0.8233,0.0233,0.5873,1074.66
asp,aci,delayed,60,0.8,cloudy,3647,0.83,0.03,0.548,865.14
asp,aci_regime,delayed,60,0.8,all,40239,0.8048,0.0048,0.2874,581.55
asp,aci_regime,delayed,60,0.8,clear,22594,0.7818,-0.0182,0.2243,444.51
asp,aci_regime,delayed,60,0.8,transitional,13998,0.8433,0.0433,0.401,794.49
asp,aci_regime,delayed,60,0.8,cloudy,3647,0.7987,-0.0013,0.3276,613.3
asp,aci_g0.01,delayed,60,0.8,all,40239,0.8378,0.0378,0.1921,482.24
asp,aci_g0.02,delayed,60,0.8,all,40239,0.8494,0.0494,0.2403,518.3
asp,aci_g0.05,delayed,60,0.8,all,40239,0.8269,0.0269,0.3463,659.89
asp,aci_g0.1,delayed,60,0.8,all,40239,0.8091,0.0091,0.4758,852.17
asp,icp,static,60,0.9,all,40239,0.8716,-0.0284,0.2478,715.07
asp,icp,static,60,0.9,clear,22594,0.9697,0.0697,0.2577,488.44
asp,icp,static,60,0.9,transitional,13998,0.7232,-0.1768,0.2481,1080.6
asp,icp,static,60,0.9,cloudy,3647,0.8336,-0.0664,0.2676,716.06
asp,icp_norm,static,60,0.9,all,40239,0.8713,-0.0287,0.2689,639.62
asp,icp_norm,static,60,0.9,clear,22594,0.9591,0.0591,0.2808,494.54
asp,icp_norm,static,60,0.9,transitional,13998,0.7332,-0.1668,0.2683,875.21
asp,icp_norm,static,60,0.9,cloudy,3647,0.8569,-0.0431,0.2878,634.15
asp,mondrian,static,60,0.9,all,40239,0.8865,-0.0135,0.2037,574.06
asp,mondrian,static,60,0.9,clear,22594,0.8827,-0.0173,0.074,381.04
asp,mondrian,static,60,0.9,transitional,13998,0.8967,-0.0033,0.4026,858.2
asp,mondrian,static,60,0.9,cloudy,3647,0.8711,-0.0289,0.2994,679.22
asp,cqr,static,60,0.9,all,40239,0.895,-0.005,0.1958,428.67
asp,cqr,static,60,0.9,clear,22594,0.9051,0.0051,0.0893,259.94
asp,cqr,static,60,0.9,transitional,13998,0.8794,-0.0206,0.3443,665.95
asp,cqr,static,60,0.9,cloudy,3647,0.8922,-0.0078,0.3511,563.22
asp,mondrian_cqr,static,60,0.9,all,40239,0.8955,-0.0045,0.1964,428.4
asp,mondrian_cqr,static,60,0.9,clear,22594,0.9028,0.0028,0.0888,259.92
asp,mondrian_cqr,static,60,0.9,transitional,13998,0.8855,-0.0145,0.3473,665.17
