site,horizon_min,policy,protocol,protocol_label,theta,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,vc_mean_ci_lo,vc_mean_ci_hi,vc_cvar_ci_lo,vc_cvar_ci_hi,cvar_ci_lo,cvar_ci_hi
asp,30,mondrian,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.875,91.97,535.06,0.7974,0.7715,0.7667,0.8258,0.6968,0.8332,377.8541,722.7488
asp,30,mondrian,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,126.05,507.45,0.7223,0.7833,0.6845,0.7557,0.73,0.8266,414.119,627.7874
asp,30,mondrian_cqr,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,76.46,526.34,0.8316,0.7752,0.8024,0.8577,0.722,0.8255,407.721,634.4935
asp,30,mondrian_cqr,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.8,76.46,526.34,0.8316,0.7752,,,,,,
asp,30,mondrian_cqr,A,A: theta selected on 2023-H2 (mean cost),0.825,80.99,498.39,0.8216,0.7871,0.7919,0.8479,0.7354,0.831,396.3107,600.4015
asp,30,mondrian_cqr,A_swapped,A-swapped: theta selected on 2023-H1,0.75,80.47,585.76,0.8227,0.7498,,,,,,
asp,30,mondrian_cqr,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.825,80.99,498.39,0.8216,0.7871,0.7919,0.8479,0.7354,0.831,396.3107,600.4015
asp,30,mondrian_cqr,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,133.14,528.62,0.7067,0.7742,0.6642,0.7436,0.7372,0.8065,481.7465,576.0066
asp,60,cqr,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,143.26,1035.59,0.7457,0.6864,0.7056,0.7831,0.6042,0.7561,785.6447,1308.4939
asp,60,cqr,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.825,140.09,976.89,0.7513,0.7042,,,,,,
